product_name,product_id,listing_price,sale_price,discount,brand,description,rating,reviews,images,slug,tong_sp,chat_lieu,cong_nghe
Giày chạy bộ Nike InfinityRN 4,12.0,0.0,4000000.0,0.0,NIKE,Lớp lót chống thấm nước ở ngón chân giúp bạn luôn khô ráo khi thời tiết chuyển mùa,5.0,9.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2Ft4dGBKiCzN9Thxc1_1702744095797.jpg?alt=media""]",giay-chay-bo-nike-infinityrn-4,1996.0,bọt ReactX với Flyknit,"Với công nghệ đệm ReactX, giày cung cấp độ êm ái vượt trội, giảm áp lực lên bàn chân và tăng khả năng hoàn trả năng lượng"
Giày chạy bộ Nike Pegasus 40,13.0,0.0,3250000.0,0.0,NIKE,Lưới một lớp được điều chnh cao tạo cảm giác mời gọi và vừa vặn Chúng tôi đã thiết kế lại dây đeo ở giữa bàn chân để vừa khít hơn với bàn chân có hình dáng phù hợp với mọi kích cỡ vòm bàn chân,4.5,67.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FONhrQ02Ek7gAA2Lw_1702744504772.jpg?alt=media""]",giay-chay-bo-nike-pegasus-40,1996.0,Vải đan,"Giày được trang bị công nghệ đệm React Foam, mang lại cảm giác êm ái và hỗ trợ tốt cho bàn chân"
Giày chạy bộ Nike Invincible 3,14.0,0.0,4500000.0,0.0,NIKE,Đế giữa rộng hơn mang lại độ ổn định cao hơn so với phiên bản trước của chúng tôi Ngăn xếp xốp cao hơn phiên bản trước của chúng tôi nâng cao tiêu chuẩn về khả năng giảm chấn và sự thoải mái trong một thiết kế đẹp mắt hơn Lớp nhựa chắc chắn quanh gót ,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2Fj6zWq1u2tIsboG9a_1702744938778.jpg?alt=media""]",giay-chay-bo-nike-invincible-3,1996.0,Vải đan,Công nghệ Flyknit cải tiến
GIÀY CHẠY BỘ NHẸ ULTRABOOST,15.0,0.0,4750000.0,0.0,ADIDAS,Sợi ở phía trên chứa ít nhất 50 Parley Ocean Plastic và 50 polyester tái chế  Lượng khí thải mỗi cặp ít hơn tối thiểu 10 so với phiên bản trước,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2F8h4jF0T2fAKhhcIW_1702745378348.jpg?alt=media""]",giay-chay-bo-nhe-ultraboost,1497.0,adidas PRIMEKNIT thân giày bằng vải dệt,Nổi bật với công nghệ Boost mang lại khả năng hoàn trả năng lượng tối ưu và sự thoải mái vượt trội
GIÀY CHẠY BỘ SUPERNOVA 20,16.0,0.0,1250000.0,0.0,ADIDAS,Đế ngoài TPU được phun trực tiếp Lưỡi và gót chân có đệm,4.4,48.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2Fipn0WlwapcOIXmf5_1702745809438.jpg?alt=media""]",giay-chay-bo-supernova-20,1995.0,adidas PRIMEKNIT thân giày bằng vải dệt,Nổi bật với công nghệ Boost mang lại khả năng hoàn trả năng lượng tối ưu và sự thoải mái vượt trội
GIÀY CHẠY BỘ ADIDAS 4DFWD 2,17.0,0.0,2000000.0,0.0,ADIDAS,Cấu trúc hấp thụ tác động Đế ngoài bằng cao su Continental Phần trên chứa tối thiểu 50 hàm lượng tái chế,4.4,34.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FltdQe1onSMEVzvX8_1702746172965.jpg?alt=media""]",giay-chay-bo-adidas-4dfwd-2,1497.0,adidas PRIMEKNIT thân giày bằng vải dệt,Nổi bật với công nghệ Boost mang lại khả năng hoàn trả năng lượng tối ưu và sự thoải mái vượt trội
GIÀY CHẠY BỘ ADIZERO SL,18.0,0.0,2750000.0,0.0,ADIDAS,Đế giày cao su Phần trên chứa tối thiểu 50 hàm lượng tái chế,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FFSWq93JgAXb97hA5_1702746694001.jpg?alt=media""]",giay-chay-bo-adizero-sl,1995.0,EVA siêu nhẹ,"Với công nghệ đệm Lightstrike mang đến cảm giác mềm mại và phản hồi nhanh chóng. Đế ngoài sử dụng cao su Continental nổi tiếng, cung cấp độ bám tuyệt vời trên nhiều bề mặt"
GIÀY CHẠY BỘ NĂNG LƯỢNG MẶT TRỜI,19.0,0.0,2100000.0,0.0,ADIDAS,Lưới thiết kế phía trên Hệ thống đẩy năng lượng tuyến tính Nền tảng EVA mật độ kép Đế giữa BOOST,4.3,16.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FW14Itr9e8f8AdWfd_1702747063690.jpg?alt=media""]",giay-chay-bo-nang-luong-mat-troi,1497.0,EVA siêu nhẹ,
GIÀY CHẠY BỘ ADIZERO ADIOS PRO 3,20.0,0.0,6250000.0,0.0,ADIDAS,Đế ngoài bằng cao su Continental Phần trên chứa tối thiểu 50 hàm lượng tái chế,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2F9ARByB0y04TK3U6k_1702747413990.jpg?alt=media""]",giay-chay-bo-adizero-adios-pro-3,1497.0,Vải tổng hợp,NĂNG LƯỢNG hạn chế tổn thất năng lượng
Giày chạy bộ  GTX SOULSTRIDE FLOW,22.0,0.0,4000000.0,0.0,ADIDAS,Mặt trên bằng lưới được thiết kế với mối hàn chống mài mòn Cảm giác đệm Màng GORETEX Invisible Fit Đế giữa ánh sáng Đế ngoài bằng cao su Continental Phần trên chứa tối thiểu 50 hàm lượng tái chế,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FkGlwBzc7gFLiat8F_1702877738816.jpg?alt=media""]",giay-chay-bo-gtx-soulstride-flow,998.0,Tái chế,"Với công nghệ GORE-TEX, giày mang lại khả năng chống nước tuyệt vời, giúp bạn duy trì sự khô ráo khi chạy trong điều kiện thời tiết xấu, đồng thời cung cấp sự thoải mái và hỗ trợ ổn định trên mọi địa hình."
GIÀY CHẠY ĐỊA HÌNH TERREX AGRAVIC FLOW GORETEX 20,23.0,7995.0,2800000.0,0.0,ADIDAS,Bộ đệm và ổn định ánh sáng Promoderator Đế ngoài bằng cao su Continental Phần trên chứa tối thiểu 50 hàm lượng tái chế,4.2,6.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FCnGxakAwLFMQweRT_1702878256709.jpg?alt=media""]",giay-chay-dia-hinh-terrex-agravic-flow-goretex-20,1497.0,Màng GORETEX,Dòng giày này mang lại sự kết hợp hoàn hảo giữa khả năng bảo vệ chống nước nhờ công nghệ GORE-TEX và tính linh hoạt khi chạy địa hình. Đế giày được thiết kế với độ bám tuyệt vời
GIÀY CHẠY BỘ TERREX SOULSTRIDE RAINRDY,24.0,0.0,1250000.0,0.0,ADIDAS,Mặt trên bằng lưới được thiết kế với lớp phủ liền mạch Lớp hoàn thiện chống thấm nước không chứa PFC,5.0,2.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FqJ78NX08h7L9wro6_1702878843334.jpg?alt=media""]",giay-chay-bo-terrex-soulstride-rainrdy,998.0,Tái chế,"Sản phẩm này được trang bị công nghệ RainRdy, giúp giày chống nước và giữ cho đôi chân luôn khô ráo trong điều kiện mưa."
Giay chạy bộ 4DFWD X STRUNG,25.0,0.0,7500000.0,0.0,ADIDAS,Đế giữa in 3D 4D Đế ngoài bằng cao su Continental,4.4,22.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2F7B1iGOieuUnylLO8_1702879472565.jpg?alt=media""]",giay-chay-bo-4dfwd-x-strung,,EVA và chất liệu tái chế,Đây là dòng giày cao cấp của Adidas với công nghệ 4DFWD giúp cung cấp sự đàn hồi và năng lượng hoàn trả tối đa
Giày chạy bộ 4DFWD 3 W,27.0,0.0,5000000.0,0.0,ADIDAS,Cấu trúc hấp thụ tác động Độ tụt đế giữa 113 mm gót chân 24 mm  bàn chân trước 127 mm Đế ngoài bằng cao su Continental Chứa tối thiểu 20 hàm lượng tái chế và tái tạo,4.0,65.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2Fyd85snfYfiTj1QKU_1702880342002.jpg?alt=media""]",giay-chay-bo-4dfwd-3-w,998.0,adidas PRIMEKNIT,Đế giữa in 3D 4D
GIÀY CHẠY BỘ 4DFWD 2,28.0,0.0,2250000.0,0.0,ADIDAS,Độ tụt đế giữa 11 mm gót chân 32 mm  bàn chân trước 21 mm Đế ngoài bằng cao su Continental Phần trên chứa tối thiểu 50 hàm lượng tái chế,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FZbqRx1qwwnQygdVE_1702880724371.jpg?alt=media""]",giay-chay-bo-4dfwd-2,1497.0,adidas PRIMEKNIT và vật liệu tái chế,"Được trang bị công nghệ đế 4D, giày này mang lại sự ổn định và hỗ trợ tối đa cho người chạy. Đế giày được thiết kế với các khối 3D đặc biệt giúp giảm chấn và tạo đà cho bước chạy, mang lại cảm giác êm ái và phản hồi nhanh"
GIÀY CHẠY BỘ 4DFWD 2,29.0,0.0,2250000.0,0.0,ADIDAS,Độ tụt đế giữa 11 mm gót chân 32 mm  bàn chân trước 21 mm Đế ngoài bằng cao su Continental Phần trên chứa tối thiểu 50 hàm lượng tái chế,4.0,1.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FZbqRx1qwwnQygdVE_1702880724371.jpg?alt=media""]",giay-chay-bo-4dfwd-2,,adidas PRIMEKNIT và vật liệu tái chế,"Cũng sở hữu công nghệ đế 4D, giày này cung cấp sự hỗ trợ và độ bám vững chắc, giúp nâng cao hiệu suất cho những người chạy địa hình hoặc đường dài. Thiết kế này tối ưu hóa độ phản hồi và sự thoải mái"
Giày chạy bộ Fresh Foam X 1080v13,30.0,0.0,4125000.0,0.0,NEW BALANCE,Bọt đế giữa Fresh Foam X với hàm lượng gốc sinh học khoảng 3 mang đến trải nghiệm Fresh Foam êm ái nhất của chúng tôi để mang lại sự thoải mái đáng kinh ngạc Nội dung dựa trên sinh học được tạo ra từ các nguồn tài nguyên có thể tái tạo để giúp giảm lượn,4.3,4.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FCJoPr9gagz3jESGP_1702965075910.jpg?alt=media""]",giay-chay-bo-fresh-foam-x-1080v13,1497.0,Mặt trên bằng lưới được thiết kế thoáng khí có lớp da thứ hai vừa khít mang lại cảm giác có cấu trúc hỗ trợ,"Đây là dòng giày chạy bộ cao cấp của New Balance, nổi bật với công nghệ đệm Fresh Foam X mang lại cảm giác êm ái, mềm mại và hỗ trợ tối đa trong suốt quá trình chạy. Được thiết kế với phần trên thoáng khí và đế ngoài bằng cao su bền"
Giày chạy bộ Fresh Foam X More v4,31.0,0.0,3750000.0,0.0,NEW BALANCE,Bọt đế giữa Fresh Foam X với hàm lượng gốc sinh học khoảng 3 mang đến trải nghiệm Fresh Foam êm ái nhất của chúng tôi để mang lại sự thoải mái đáng kinh ngạc Nội dung dựa trên sinh học được tạo ra từ các nguồn tài nguyên có thể tái tạo để giúp giảm lượn,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FeFjiAPCi64Ob67S3_1702965682650.jpg?alt=media""]",giay-chay-bo-fresh-foam-x-more-v4,1496.0,Mặt trên bằng lưới được thiết kế với khả năng hỗ trợ theo vùng và khả năng thoáng khí,Bọt đế giữa Fresh Foam X với hàm lượng gốc sinh học khoảng 3
Giày chạy bộ Fresh Foam Arishi v4,32.0,0.0,1750000.0,0.0,NEW BALANCE,Đệm đế giữa Fresh Foam được thiết kế chính xác để mang lại cảm giác đi lại siêu êm và nhẹ Được thiết kế để có thể đeo cả ngày trong gói thể thao,4.2,5.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FkKdUT1nn2qUAEbHj_1702965942115.jpg?alt=media""]",giay-chay-bo-fresh-foam-arishi-v4,1497.0,Thân trên bằng lưới nhẹ và thoáng khí Vật liệu tổng hợp Đế ngoài cao su cho độ bền,"Dòng giày này cũng sử dụng công nghệ đệm Fresh Foam, nhưng với thiết kế nhẹ nhàng hơn, thích hợp cho các vận động viên chạy bộ có nhu cầu nhẹ nhàng, linh hoạt"
Giày chạy bộ FuelCell Rebel v3,33.0,0.0,2600000.0,0.0,NEW BALANCE,Thân trên bằng vải dệt kim được thiết kế nhẹ không có lớp phủ may Lưỡi có rãnh được thiết kế để giúp giữ mảnh vụn ra ngoài Vật liệu tổng hợp Dây buộc có thể điều chnh vừa vặn an toàn Điểm nhấn phản chiếu được thiết kế để bắt ánh sáng giảm 6 mm do sự kh,5.0,1.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2Fbb4Cs1xqZHzCpAxB_1702966342228.jpg?alt=media""]",giay-chay-bo-fuelcell-rebel-v3,998.0,Sợi vi lượng chứa hợp chất mới REVlite,Bọt FuelCell mang lại cảm giác đẩy giúp bạn tiến về phía trước
GIÀY TẬP DROPSET 2,34.0,0.0,3250000.0,0.0,ADIDAS,Thành bên TPU hỗ trợ giúp ổn định phần giữa bàn chân và gót chân Đế giữa mật độ kép với cửa sổ luồng khí giúp thoáng khí,4.9,7.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FswBaGgqakwRMUxHK_1703050783111.jpg?alt=media""]",giay-tap-dropset-2,0.0,Thân giày bằng vải dệt có lớp phủ tổng hợp,Hệ thống dây buộc có thể điều chinh
GIÀY TẬP AMPLIMOVE,35.0,15995.0,1750000.0,0.0,ADIDAS,Đế giữa VisTech EVA được điêu khắc Đế ngoài cao su đa hướng Chứa ít nhất 20 nội dung tái chế,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FtbAbUqyhX53VzSLG_1703051260798.jpg?alt=media""]",giay-tap-amplimove,0.0,Thân trên bằng lưới liền mạch với lớp phủ hàn,Lớp phủ hỗ trợ TPU được khoanh vùng ở bàn chân trước và bàn chân giữa
Giày tập Nike Metcon 9 AMP,36.0,0.0,4000000.0,0.0,ADIDAS,Đế ngoài hoàn toàn bằng cao su mang lại lực kéo bền b cho các chuyển động năng động như dọn dẹp và đi bộ Chất liệu vải thoáng khí có hình in xúc giác tạo hiệu ứng 3D giúp tăng thêm độ bền và kết cấu giúp bạn giữ giày sạch sẽ dễ dàng hơn Ngoài ra nó,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2F5ZkpKmPogSg1jiBX_1703051519386.jpg?alt=media""]",giay-tap-nike-metcon-9-amp,0.0,Chất liệu vải thoáng khí có hình in xúc giác,"Dòng giày này được thiết kế cho các bài tập cường độ cao và vận động mạnh. Với đế giày chắc chắn và bền bỉ, Metcon 9 AMP cung cấp sự ổn định tuyệt vời"
Giày tập Nike Metcon 9,37.0,0.0,3750000.0,0.0,ADIDAS,Hệ thống khóa ren gắn vào lưỡi giày nên bạn không phải lo lắng về việc khóa ren vào bất kỳ loại vải nào Nó giúp giữ dây buộc của bạn đúng vị trí vì vậy khi bạn buộc dây bạn có thể ch tập trung vào việc tập luyện của mình,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FS4OhqBpoCH0fenig_1703051795075.jpg?alt=media""]",giay-tap-nike-metcon-9,0.0,Chất liệu vải thoáng khí có hình in xúc giác,"Được cải tiến với công nghệ đế vững chắc và thoải mái, Nike Metcon 9 là sự lựa chọn lý tưởng cho các vận động viên và những người tập thể dục cường độ cao"
Giày Chạy Bộ Nữ New Balance Fresh Foam Evoz V2,38.0,0.0,987750.0,0.0,ADIDAS,Đệm giữa Fresh Foam được thiết kế chính xác để mang đến một chuyến đi siêu thoải mái và nhẹ,5.0,3.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FB6AlxXGecC47149F_1703052908764.png?alt=media""]",giay-chay-bo-nu-new-balance-fresh-foam-evoz-v2,1200.0,Đế ngoài bằng cao su hoàn toàn cho lực kéo và độ bền,Mối hàn TPU
Giày Chạy Bộ Nam New Balance Fresh Foam X 880V12,39.0,0.0,1977000.0,0.0,ADIDAS,Fresh Foam X 880v12 là sự cải tiến với một hợp chất bọt mềm đồng thời đôi giày có một lớp lưới jacquard thời trang,0.0,0.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FXozEWJHjxdhaSZ6V_1703053775257.png?alt=media""]",giay-chay-bo-nam-new-balance-fresh-foam-x-880v12,700.0,Cấu tạo đế giữa hai lớp với đệm mút Fresh Foam X ở một số vị trí ,"Dòng giày này sử dụng công nghệ Fresh Foam X để cung cấp sự đệm êm ái và nhẹ nhàng, giúp người chạy cảm thấy thoải mái trên các chặng đường dài."
Giày Chạy Bộ Nam New Balance Hierro Fresh Foam,40.0,0.0,1747500.0,0.0,ADIDAS,Đế ngoài Vibram Megagrip mang lại độ bám cao hơn Vibram là thương hiệu đã đăng k của VIBRAM SpA,1.0,1.0,"[""https://firebasestorage.googleapis.com/v0/b/springboot-analysis.appspot.com/o/tmp%2FTYdrPNUcmEBjdqXY_1703059102662.png?alt=media""]",giay-chay-bo-nam-new-balance-hierro-fresh-foam,105.0,Phần trên upper sử dụng chất liệu tổng hợp phối lưới có cấu trúc thoáng khí nhưng được bảo vệ,"Được trang bị công nghệ Fresh Foam đặc trưng, giày Hierro mang đến sự đệm êm ái và hỗ trợ vượt trội, đặc biệt phù hợp cho chạy địa hình."
Xin chào,,,,,,Tôi có thể giúp gì cho bạn,,,,,,,
Size giày có chuẩn không?,,,,,,Size giày theo tiêu chuẩn quốc tế. Bạn có thể tham khảo bảng size để chọn đúng.,,,,,,,
Chính sách đổi trả giày như thế nào?,,,,,,Bạn có thể đổi trả trong vòng 7 ngày nếu giày không bị hư hỏng hoặc đã sử dụng.,,,,,,,
Có bảo hành giày không?,,,,,,"Có, sản phẩm được bảo hành trong 6 tháng đối với lỗi từ nhà sản xuất.",,,,,,,
Giày có chống nước không?,,,,,,"Một số mẫu giày có khả năng chống nước, vui lòng xem chi tiết sản phẩm cụ thể.",,,,,,,
Làm sao để phân biệt giày thật và giả?,,,,,,"Bạn nên kiểm tra chi tiết logo, chất liệu và nơi sản xuất từ nguồn chính hãng.",,,,,,,
Thời gian giao hàng là bao lâu?,,,,,,"Thời gian giao hàng thường từ 3-5 ngày làm việc, tùy thuộc vào địa chỉ của bạn.",,,,,,,
Có chương trình giảm giá hay khuyến mãi không?,,,,,,"Chúng tôi thường xuyên có các chương trình khuyến mãi, hãy theo dõi website.",,,,,,,
Thanh toán có những phương thức nào?,,,,,,"Bạn có thể thanh toán qua thẻ tín dụng, chuyển khoản hoặc thanh toán khi nhận.",,,,,,,
Chất liệu giày là gì?,,,,,,"Giày được làm từ nhiều loại chất liệu như da, vải canvas, hoặc chất liệu tổng hợp.",,,,,,,
Giày có phù hợp để chạy bộ không?,,,,,,Một số dòng giày chuyên dụng như Nike Air hay Adidas Boost rất phù hợp để chạy bộ.,,,,,,,
Giày có dễ vệ sinh không?,,,,,,Bạn có thể vệ sinh giày bằng khăn ẩm hoặc dung dịch vệ sinh giày chuyên dụng.,,,,,,,
Giày có phù hợp cho cả nam và nữ không?,,,,,,"Một số mẫu giày là unisex, phù hợp cho cả nam và nữ, bạn có thể tham khảo chi tiết.",,,,,,,
